LHS	RHS	PCC_25	PCC_50	PCC_75	PCC_100
seed	Flowerpool1001und2	0.909472	0.9191	0.951179	0.955795
seed	Plantpool50b	0.906196	0.924102	0.925074	0.896179
seed	Plantpool25a	0.881718	0.935125	0.92041	0.880618
seed	Plantpool25b	0.881249	0.912493	0.942631	0.935634
seed	Plantpool10b1	0.807221	0.892643	0.90939	0.894578
seed	Plantpool10b2	0.807043	0.859392	0.883239	0.892679
seed	Plantpool5x	0.683822	0.783985	0.88909	0.903939
seed	PlantpoolB12345	0.951719	0.95661	0.960427	0.963456
seed	Flowerpool50A	0.90646	0.932561	0.949668	0.954717
seed	Flowerpool50B	0.902106	0.925879	0.955668	0.962397
seed	Flowerpool25A	0.883261	0.93772	0.950559	0.948282
seed	Flowerpool25B	0.877669	0.90577	0.924852	0.900977
seed	Flowerpool10B2	0.785351	0.829051	0.892947	0.930948
seed	Flowerpool5B	0.669609	0.751378	0.814311	0.860484
seed	Plantpool100x	0.896962	0.939527	0.92023	0.914021
seed	Plantpool50a	0.905467	0.934362	0.947215	0.941841
Flowerpool1001und2	Plantpool50b	0.872711	0.936149	0.963828	0.976105
Flowerpool1001und2	Plantpool25a	0.843134	0.94226	0.965473	0.971039
Flowerpool1001und2	Plantpool25b	0.849346	0.931805	0.963265	0.967457
Flowerpool1001und2	Plantpool10b1	0.781781	0.924119	0.949061	0.950882
Flowerpool1001und2	Plantpool10b2	0.7826	0.897923	0.898247	0.907648
Flowerpool1001und2	Plantpool5x	0.631988	0.854228	0.916388	0.921215
Flowerpool1001und2	PlantpoolB12345	0.888849	0.902398	0.942591	0.964507
Flowerpool1001und2	Flowerpool50A	0.87673	0.936979	0.971316	0.980968
Flowerpool1001und2	Flowerpool50B	0.881147	0.933157	0.972172	0.982469
Flowerpool1001und2	Flowerpool25A	0.851257	0.937991	0.965785	0.975645
Flowerpool1001und2	Flowerpool25B	0.848367	0.928197	0.955396	0.951385
Flowerpool1001und2	Flowerpool10B2	0.768671	0.869678	0.942782	0.957601
Flowerpool1001und2	Flowerpool5B	0.631555	0.804577	0.909907	0.935872
Flowerpool1001und2	Plantpool100x	0.86044	0.957187	0.976682	0.984732
Flowerpool1001und2	Plantpool50a	0.872346	0.940957	0.973217	0.978114
Plantpool50b	Plantpool25a	0.836225	0.948498	0.966413	0.967573
Plantpool50b	Plantpool25b	0.842346	0.939416	0.967872	0.97275
Plantpool50b	Plantpool10b1	0.778707	0.928017	0.945173	0.947592
Plantpool50b	Plantpool10b2	0.783716	0.896799	0.909558	0.907851
Plantpool50b	Plantpool5x	0.647143	0.878514	0.915299	0.912659
Plantpool50b	PlantpoolB12345	0.885639	0.924258	0.959791	0.965336
Plantpool50b	Flowerpool50A	0.864169	0.95013	0.97416	0.983856
Plantpool50b	Flowerpool50B	0.866136	0.945952	0.973874	0.983445
Plantpool50b	Flowerpool25A	0.840098	0.945247	0.966581	0.973522
Plantpool50b	Flowerpool25B	0.841109	0.940371	0.96114	0.962555
Plantpool50b	Flowerpool10B2	0.764326	0.905922	0.935107	0.934972
Plantpool50b	Flowerpool5B	0.635896	0.852515	0.914056	0.917589
Plantpool50b	Plantpool100x	0.857281	0.958762	0.978569	0.989148
Plantpool50b	Plantpool50a	0.865914	0.950811	0.974072	0.98414
Plantpool25a	Plantpool25b	0.784288	0.920836	0.938473	0.939167
Plantpool25a	Plantpool10b1	0.745059	0.919672	0.929069	0.931234
Plantpool25a	Plantpool10b2	0.741707	0.864328	0.877254	0.864786
Plantpool25a	Plantpool5x	0.623805	0.869803	0.901741	0.888931
Plantpool25a	PlantpoolB12345	0.86597	0.9329	0.964822	0.973595
Plantpool25a	Flowerpool50A	0.838457	0.949633	0.967823	0.978492
Plantpool25a	Flowerpool50B	0.836903	0.94549	0.969049	0.972423
Plantpool25a	Flowerpool25A	0.84452	0.954184	0.966876	0.973482
Plantpool25a	Flowerpool25B	0.783434	0.92982	0.940396	0.93316
Plantpool25a	Flowerpool10B2	0.713217	0.893149	0.917182	0.907175
Plantpool25a	Flowerpool5B	0.590466	0.871488	0.904306	0.905788
Plantpool25a	Plantpool100x	0.828996	0.955331	0.970197	0.973084
Plantpool25a	Plantpool50a	0.836685	0.954757	0.967279	0.972354
Plantpool25b	Plantpool10b1	0.793143	0.931432	0.951267	0.949526
Plantpool25b	Plantpool10b2	0.802224	0.920529	0.94723	0.954095
Plantpool25b	Plantpool5x	0.66097	0.887807	0.928138	0.915178
Plantpool25b	PlantpoolB12345	0.853571	0.900818	0.94917	0.95419
Plantpool25b	Flowerpool50A	0.840018	0.933147	0.963685	0.969416
Plantpool25b	Flowerpool50B	0.843364	0.931153	0.959101	0.963668
Plantpool25b	Flowerpool25A	0.787289	0.912756	0.943813	0.941527
Plantpool25b	Flowerpool25B	0.855029	0.946776	0.97071	0.97454
Plantpool25b	Flowerpool10B2	0.778668	0.893395	0.945557	0.949939
Plantpool25b	Flowerpool5B	0.652026	0.852154	0.916222	0.935927
Plantpool25b	Plantpool100x	0.834416	0.94488	0.963489	0.974091
Plantpool25b	Plantpool50a	0.842545	0.939062	0.96964	0.967982
Plantpool10b1	Plantpool10b2	0.731932	0.86353	0.868215	0.867313
Plantpool10b1	Plantpool5x	0.577094	0.853612	0.866407	0.841972
Plantpool10b1	PlantpoolB12345	0.785008	0.896386	0.935486	0.936284
Plantpool10b1	Flowerpool50A	0.774547	0.930083	0.946703	0.948445
Plantpool10b1	Flowerpool50B	0.779309	0.929514	0.953321	0.958127
Plantpool10b1	Flowerpool25A	0.738213	0.91762	0.929492	0.938045
Plantpool10b1	Flowerpool25B	0.7992	0.929084	0.951449	0.949076
Plantpool10b1	Flowerpool10B2	0.817903	0.935798	0.972825	0.976535
Plantpool10b1	Flowerpool5B	0.548342	0.851624	0.862899	0.877007
Plantpool10b1	Plantpool100x	0.783758	0.930485	0.949998	0.955601
Plantpool10b1	Plantpool50a	0.786923	0.930368	0.946142	0.94929
Plantpool10b2	Plantpool5x	0.619921	0.850767	0.862731	0.841901
Plantpool10b2	PlantpoolB12345	0.78036	0.837239	0.894405	0.885115
Plantpool10b2	Flowerpool50A	0.774845	0.886412	0.901844	0.908894
Plantpool10b2	Flowerpool50B	0.776754	0.891662	0.893069	0.900513
Plantpool10b2	Flowerpool25A	0.742334	0.875099	0.869335	0.857792
Plantpool10b2	Flowerpool25B	0.794593	0.919163	0.936596	0.952178
Plantpool10b2	Flowerpool10B2	0.701552	0.864061	0.871494	0.878582
Plantpool10b2	Flowerpool5B	0.589085	0.820604	0.888361	0.877272
Plantpool10b2	Plantpool100x	0.788808	0.90078	0.906759	0.916777
Plantpool10b2	Plantpool50a	0.778528	0.893291	0.905622	0.911889
Plantpool5x	PlantpoolB12345	0.646021	0.765726	0.900726	0.926978
Plantpool5x	Flowerpool50A	0.645168	0.873438	0.920182	0.91449
Plantpool5x	Flowerpool50B	0.632936	0.868863	0.910625	0.909083
Plantpool5x	Flowerpool25A	0.615356	0.871737	0.906308	0.890695
Plantpool5x	Flowerpool25B	0.661497	0.875863	0.91192	0.902049
Plantpool5x	Flowerpool10B2	0.504421	0.778757	0.86361	0.856814
Plantpool5x	Flowerpool5B	0.825516	0.91264	0.960298	0.967114
Plantpool5x	Plantpool100x	0.665442	0.895866	0.912048	0.913209
Plantpool5x	Plantpool50a	0.650528	0.89332	0.925408	0.923063
PlantpoolB12345	Flowerpool50A	0.886179	0.932112	0.965323	0.986212
PlantpoolB12345	Flowerpool50B	0.88055	0.920505	0.963051	0.97002
PlantpoolB12345	Flowerpool25A	0.864805	0.923521	0.963842	0.9725
PlantpoolB12345	Flowerpool25B	0.851098	0.906655	0.955983	0.959178
PlantpoolB12345	Flowerpool10B2	0.764556	0.809421	0.8737	0.930221
PlantpoolB12345	Flowerpool5B	0.631329	0.715154	0.7897	0.854486
PlantpoolB12345	Plantpool100x	0.877769	0.954205	0.972317	0.976768
PlantpoolB12345	Plantpool50a	0.8855	0.927413	0.968073	0.972384
Flowerpool50A	Flowerpool50B	0.869321	0.947921	0.97681	0.985556
Flowerpool50A	Flowerpool25A	0.845783	0.943568	0.967824	0.975951
Flowerpool50A	Flowerpool25B	0.839593	0.932287	0.955327	0.955228
Flowerpool50A	Flowerpool10B2	0.769254	0.902213	0.940352	0.946285
Flowerpool50A	Flowerpool5B	0.640087	0.859671	0.913308	0.91993
Flowerpool50A	Plantpool100x	0.855025	0.959615	0.979895	0.988356
Flowerpool50A	Plantpool50a	0.865948	0.951806	0.975874	0.982436
Flowerpool50B	Flowerpool25A	0.843629	0.944392	0.97474	0.979059
Flowerpool50B	Flowerpool25B	0.841232	0.932783	0.961522	0.960629
Flowerpool50B	Flowerpool10B2	0.76043	0.884068	0.941894	0.95167
Flowerpool50B	Flowerpool5B	0.627255	0.84842	0.91179	0.91083
Flowerpool50B	Plantpool100x	0.853567	0.958459	0.980275	0.984754
Flowerpool50B	Plantpool50a	0.864266	0.94861	0.972565	0.97717
Flowerpool25A	Flowerpool25B	0.784396	0.920562	0.939039	0.936335
Flowerpool25A	Flowerpool10B2	0.712632	0.902379	0.928873	0.929949
Flowerpool25A	Flowerpool5B	0.598642	0.865406	0.905685	0.905866
Flowerpool25A	Plantpool100x	0.82828	0.948559	0.967439	0.974622
Flowerpool25A	Plantpool50a	0.838426	0.945102	0.960851	0.968274
Flowerpool25B	Flowerpool10B2	0.786665	0.910417	0.945899	0.942817
Flowerpool25B	Flowerpool5B	0.654471	0.858083	0.907075	0.924918
Flowerpool25B	Plantpool100x	0.82656	0.945922	0.962332	0.965244
Flowerpool25B	Plantpool50a	0.836913	0.942553	0.9637	0.962982
Flowerpool10B2	Flowerpool5B	0.498051	0.70007	0.845884	0.894688
Flowerpool10B2	Plantpool100x	0.76727	0.926224	0.946944	0.946092
Flowerpool10B2	Plantpool50a	0.766437	0.912587	0.944062	0.941158
Flowerpool5B	Plantpool100x	0.655498	0.902009	0.912176	0.915923
Flowerpool5B	Plantpool50a	0.63522	0.860257	0.915246	0.938609
Plantpool100x	Plantpool50a	0.853869	0.963004	0.979239	0.989336
