sample	unit	platform	fq1	fq2
S1	1	ILLUMINA	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId1-0_RunId0034_LaneId5/francoisfield_S1_L005_R1_001.fastq.gz	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId1-0_RunId0034_LaneId5/francoisfield_S1_L005_R2_001.fastq.gz
S4	1	ILLUMINA	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId1-1_RunId0034_LaneId5/francoisfield_S4_L005_R1_001.fastq.gz	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId1-1_RunId0034_LaneId5/francoisfield_S4_L005_R2_001.fastq.gz
S7	1	ILLUMINA	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId1-2_RunId0034_LaneId5/francoisfield_S7_L005_R1_001.fastq.gz	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId1-2_RunId0034_LaneId5/francoisfield_S7_L005_R2_001.fastq.gz
S10	1	ILLUMINA	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId1-3_RunId0034_LaneId5/francoisfield_S10_L005_R1_001.fastq.gz	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId1-3_RunId0034_LaneId5/francoisfield_S10_L005_R2_001.fastq.gz
S2	1	ILLUMINA	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId2-0_RunId0034_LaneId5/francoisfield_S2_L005_R1_001.fastq.gz	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId2-0_RunId0034_LaneId5/francoisfield_S2_L005_R2_001.fastq.gz
S5	1	ILLUMINA	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId2-1_RunId0034_LaneId5/francoisfield_S5_L005_R1_001.fastq.gz	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId2-1_RunId0034_LaneId5/francoisfield_S5_L005_R2_001.fastq.gz
S8	1	ILLUMINA	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId2-2_RunId0034_LaneId5/francoisfield_S8_L005_R1_001.fastq.gz	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId2-2_RunId0034_LaneId5/francoisfield_S8_L005_R2_001.fastq.gz
S11	1	ILLUMINA	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId2-3_RunId0034_LaneId5/francoisfield_S11_L005_R1_001.fastq.gz	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId2-3_RunId0034_LaneId5/francoisfield_S11_L005_R2_001.fastq.gz
S3	1	ILLUMINA	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId3-0_RunId0034_LaneId5/francoisfield_S3_L005_R1_001.fastq.gz	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId3-0_RunId0034_LaneId5/francoisfield_S3_L005_R2_001.fastq.gz
S6	1	ILLUMINA	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId3-1_RunId0034_LaneId5/francoisfield_S6_L005_R1_001.fastq.gz	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId3-1_RunId0034_LaneId5/francoisfield_S6_L005_R2_001.fastq.gz
S9	1	ILLUMINA	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId3-2_RunId0034_LaneId5/francoisfield_S9_L005_R1_001.fastq.gz	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId3-2_RunId0034_LaneId5/francoisfield_S9_L005_R2_001.fastq.gz
S12	1	ILLUMINA	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId3-3_RunId0034_LaneId5/francoisfield_S12_L005_R1_001.fastq.gz	/Carnegie/DPB/Data/Shared/Labs/Moi/Everyone/ath_evo/ena_francois/illumina_ST-J00101_flowcellA_SampleId3-3_RunId0034_LaneId5/francoisfield_S12_L005_R2_001.fastq.gz
